contract_address,token_id,from_address,to_address,amount,type,tx_hash,block_number,ts,tx_index,log_id,internal_tx_index,batch_transfer,value
79355147,16701816,0xf39260e94daa61a25c07341e259fb6f63411d4f85c241aa0d2f3312abf733897,0x0be697ce3f41508510ccf502c55c37990274f05e,721,0x0000000000000000000000000000000000000000000000000000000000000687,1,0xbe7c3c0973d0c25e9e689a59ee296abd2546130d,0x5e176bd97a3edda9543825711c5182abf0f18ec9,0x0000000000000000000000000000000000000000,88000000000000000,seaport,2023-02-25 00:43:47,140.95722587450982
79355148,16701816,0x205b96037ed84686ab2f0d1d3d0146a0fe9e400b5bbf81da428f747269a91339,0x2b709bde12ce759a1a5af45cd9bcc27cb05a6e14,721,0x000000000000000000000000000000000000000000000000000000000000058a,1,0x63fa075866fb1538f807d2728540d4c1ecc77696,0x8bb9ffcc8c248b1d5b7e0d0496bba0cb3c248ac5,0x0000000000000000000000000000000000000000,15000000000000000,seaport,2023-02-25 00:43:47,24.026799864973263
79355149,16701816,0x205b96037ed84686ab2f0d1d3d0146a0fe9e400b5bbf81da428f747269a91339,0x2b709bde12ce759a1a5af45cd9bcc27cb05a6e14,721,0x000000000000000000000000000000000000000000000000000000000000077c,1,0xc122451302a1c613000ea20c003ed8d8baec1c11,0x8bb9ffcc8c248b1d5b7e0d0496bba0cb3c248ac5,0x0000000000000000000000000000000000000000,20000000000000000,seaport,2023-02-25 00:43:47,32.03573315329769
79355150,16701817,0x4735883286662e6f07605f2be962fc06be87d3f54e3f8ec82fb3223f97e2bdf3,0xd4307e0acd12cf46fd6cf93bc264f5d5d1598792,721,0x000000000000000000000000000000000000000000000000000000000001c2be,1,0x386b1e5f52148fb061f44b0f75e0dbf84356c3f5,0xcd63825278c2c6394812206bfa1dd61fc0b90f83,0x0000000000000000000000000000000000000000,3200000000000000,seaport,2023-02-25 00:43:59,5.1257173045276305
79355151,16701817,0x4735883286662e6f07605f2be962fc06be87d3f54e3f8ec82fb3223f97e2bdf3,0xd4307e0acd12cf46fd6cf93bc264f5d5d1598792,721,0x000000000000000000000000000000000000000000000000000000000001c1cd,1,0xa3601d1ce4495f6dc21f1d8cc99f1a1eb465805e,0xcd63825278c2c6394812206bfa1dd61fc0b90f83,0x0000000000000000000000000000000000000000,3300000000000000,seaport,2023-02-25 00:43:59,5.285895970294119
79355152,16701817,0x4735883286662e6f07605f2be962fc06be87d3f54e3f8ec82fb3223f97e2bdf3,0xd4307e0acd12cf46fd6cf93bc264f5d5d1598792,721,0x000000000000000000000000000000000000000000000000000000000001c2db,1,0xf0da28d8aae3dec5164ea2c3c17592d18b7ecb57,0xcd63825278c2c6394812206bfa1dd61fc0b90f83,0x0000000000000000000000000000000000000000,3200000000000000,seaport,2023-02-25 00:43:59,5.1257173045276305
79355153,16701817,0x4735883286662e6f07605f2be962fc06be87d3f54e3f8ec82fb3223f97e2bdf3,0xd4307e0acd12cf46fd6cf93bc264f5d5d1598792,721,0x00000000000000000000000000000000000000000000000000000000000195b9,1,0x51401778144474b20e7b2b990233220749853e90,0xcd63825278c2c6394812206bfa1dd61fc0b90f83,0x0000000000000000000000000000000000000000,3200000000000000,seaport,2023-02-25 00:43:59,5.1257173045276305
79355154,16701817,0x4735883286662e6f07605f2be962fc06be87d3f54e3f8ec82fb3223f97e2bdf3,0xd4307e0acd12cf46fd6cf93bc264f5d5d1598792,721,0x000000000000000000000000000000000000000000000000000000000001c237,1,0x20875f0af5b8361d806f4f0f76c9a2218d11ec52,0xcd63825278c2c6394812206bfa1dd61fc0b90f83,0x0000000000000000000000000000000000000000,3100000000000000,seaport,2023-02-25 00:43:59,4.965538638761141
79355155,16701817,0x5b41ce6b2571cd4b8b792e075101235240439cf4c8f0db188457c439d3547984,0x92c93fafc20fe882a448f86e594d9667259c42c8,721,0x0000000000000000000000000000000000000000000000000000000000002051,1,0xbe7170f5073a5a276c3a448682c4b855cee82b5e,0x2e49f47f5933dcb7d02b44518c8afcd5ffe60a4d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,58140000000000000,seaport,2023-02-25 00:43:59,92.97229409121998
79355156,16701818,0x6b8c4fed4b1d9eed8c35d17b510ff0f9a40344f2826ecd7d903ef5685608b9b4,0x8cae61967466ebbf15c12dc802b29594bc04efc6,721,0x0000000000000000000000000000000000000000000000000000000000000e2f,1,0x9af7b1095292279d8b6ae8a8c75eaad44ee2890d,0x4118f1e74d693dace7cb22f5482089be79164fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,52354500000000000,seaport,2023-02-25 00:44:11,83.72063933606427
79355157,16701818,0xc86943d6e6067e0cae06a50781c7129a2e58be7f5dbc40bd63d0ea3cf0673fc1,0xbd8451d2d5fb88469a764b05c1e0b623c5106145,721,0x0000000000000000000000000000000000000000000000000000000000003c5e,1,0x07ec3322cc8cb577ff751df962979bf371639dca,0xdecda17bad6082618069733e0808ca10a5d8b63e,0x0000000000000000000000000000000000000000,44791891787000000,seaport,2023-02-25 00:44:11,71.74705463598592
79355158,16701818,0xc86943d6e6067e0cae06a50781c7129a2e58be7f5dbc40bd63d0ea3cf0673fc1,0xbd8451d2d5fb88469a764b05c1e0b623c5106145,721,0x0000000000000000000000000000000000000000000000000000000000003059,1,0xc312248e79bd7122bf98415efceeeaa9d81ef072,0xdecda17bad6082618069733e0808ca10a5d8b63e,0x0000000000000000000000000000000000000000,44800000000000000,seaport,2023-02-25 00:44:11,71.76004226338682
79355159,16701818,0xc86943d6e6067e0cae06a50781c7129a2e58be7f5dbc40bd63d0ea3cf0673fc1,0xbd8451d2d5fb88469a764b05c1e0b623c5106145,721,0x0000000000000000000000000000000000000000000000000000000000006d21,1,0x059cdc084e4bf50d74534802da5e02ecead90d12,0xdecda17bad6082618069733e0808ca10a5d8b63e,0x0000000000000000000000000000000000000000,44800000000000000,seaport,2023-02-25 00:44:11,71.76004226338682
79355160,16701818,0xfbd19f3718838f8477e5539afdcf9f8c526c19b041b857a5c9fe72107ed58dd6,0x080c23415bd7f11fd8caea9d132a89e866028af3,721,0x0000000000000000000000000000000000000000000000000000000000001b81,1,0xf5bad0537e3fb3ee558c21de02617498a0f5ff67,0x708dc45fd3ad9221ec0a9209c66eb54d1fe5ac15,0x0000000000000000000000000000000000000000,18200000000000000,seaport,2023-02-25 00:44:11,29.152517169500896
79355161,16701818,0xfbd19f3718838f8477e5539afdcf9f8c526c19b041b857a5c9fe72107ed58dd6,0x080c23415bd7f11fd8caea9d132a89e866028af3,721,0x00000000000000000000000000000000000000000000000000000000000014f5,1,0xf5bad0537e3fb3ee558c21de02617498a0f5ff67,0x708dc45fd3ad9221ec0a9209c66eb54d1fe5ac15,0x0000000000000000000000000000000000000000,16790000000000000,seaport,2023-02-25 00:44:11,26.893997982193408
79355162,16701818,0xfbd19f3718838f8477e5539afdcf9f8c526c19b041b857a5c9fe72107ed58dd6,0x080c23415bd7f11fd8caea9d132a89e866028af3,721,0x0000000000000000000000000000000000000000000000000000000000001a83,1,0xf5bad0537e3fb3ee558c21de02617498a0f5ff67,0x708dc45fd3ad9221ec0a9209c66eb54d1fe5ac15,0x0000000000000000000000000000000000000000,18200000000000000,seaport,2023-02-25 00:44:11,29.152517169500896
79355163,16701818,0x01e55a447a47a38a9d5948e665c97d3ec8901639f5089e7969c3925a7051dd6b,0x0be697ce3f41508510ccf502c55c37990274f05e,721,0x00000000000000000000000000000000000000000000000000000000000005ff,1,0x0871d8c420a6ae6a347ae0029c3d8ee76e439c77,0x8937dc225701d04ec8888060f34eaa0970e9fe1d,0x0000000000000000000000000000000000000000,87000000000000000,seaport,2023-02-25 00:44:11,139.35543921684493
79355164,16701818,0x6783cec045fec2466884920a0e234972f2e855e87dbad0d17924d79666c97cc1,0x0394d949eb580dd147975d8d7d857339bba09fa2,721,0x0000000000000000000000000000000000000000000000000000000000000a83,1,0xbd3c97bf36f3f43bb041fafc2f37d3aa0ff250ec,0x63c1bad9ef51494027b10b2abde1fb38f7133483,0x0000000000000000000000000000000000000000,9000000000000000,seaport,2023-02-25 00:44:11,14.416079918983959
